from_node_token,from_node_Gender,from_node_Number,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,deprel,label,doc_id,from_node_VerbForm,to_node_Gender,to_node_Number,to_node_lemma,to_node_upos,to_node_xpos,from_node_Degree,from_node_Tense,to_node_Case,to_node_Person,to_node_PronType,from_node_Case,from_node_Person,from_node_PronType,to_node_Degree,to_node_Poss,to_node_Tense,to_node_VerbForm,from_node_Poss
begeleiden.v.01,,Sing,begeleiden,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p49/d0795,Fin,Com,Sing,Jim,PROPN,N|eigen|ev|basis|zijd|stan,,Past,,,,,,,,,,,
begeleiden.v.01,,Sing,begeleiden,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p49/d0795,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p49/d0795,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p49/d0766,,,,,,,,,,,,,,,,,,,
winnen.v.01,,,winnen,VERB,WW|vd|vrij|zonder,zijn.v.01,nsubj,Agent,nl/p49/d0766,Part,,Sing,zijn,VERB,WW|pv|tgw|ev,,,,,,,,,,,Pres,Fin,
winnen.v.01,,,winnen,VERB,WW|vd|vrij|zonder,person.n.01,obl,Time,nl/p49/d0766,Part,,,mij,PRON,VNW|pr|pron|obl|vol|1|ev,,,Acc,1,Prs,,,,,,,,
female.n.02,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,Mary,,Name,nl/p28/d2629,,,,,,,,,,,,,,,,,,,
modeontwerpster.n.01,Com,Sing,modeontwerpster,NOUN,N|soort|ev|basis|zijd|stan,female.n.02,nsubj,Theme,nl/p28/d2629,,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,,,,,,,,,,,,,
person.n.01,,,je,PRON,VNW|pers|pron|nomin|red|2v|ev,hearer,,EQU,nl/p28/d2828,,,,,,,,,,,,Nom,2,Prs,,,,,
time.n.08,,,,,,now,,EQU,nl/p28/d2828,,,,,,,,,,,,,,,,,,,
dronken.a.01,,,dronken,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p28/d2828,,,,,,,Pos,,,,,,,,,,,,
verbranden.v.01,,Plur,verbranden,VERB,WW|pv|verl|mv,person.n.01,nsubj,Agent,nl/p28/d3283,Fin,,,ze,PRON,VNW|pers|pron|stan|red|3|mv,,Past,,3,Prs,,,,,,,,
verbranden.v.01,,Plur,verbranden,VERB,WW|pv|verl|mv,time.n.08,,Time,nl/p28/d3283,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p28/d3283,,,,,,,,,,,,,,,,,,,
man.n.01,Com,Sing,man,NOUN,N|soort|ev|basis|zijd|stan,oud.a.01,amod,Attribute,nl/p28/d2276,,,,oud,ADJ,ADJ|prenom|basis|met-e|stan,,,,,,,,,Pos,,,,
overrijden.v.01,,,overrijden,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p28/d2276,Part,,,,,,,,,,,,,,,,,,
schenken.v.01,,Plur,schenken,VERB,WW|pv|verl|mv,person.n.01,nsubj,Agent,nl/p28/d0916,Fin,,,ze,PRON,VNW|pers|pron|stan|red|3|mv,,Past,,3,Prs,,,,,,,,
schenken.v.01,,Plur,schenken,VERB,WW|pv|verl|mv,time.n.08,,Time,nl/p28/d0916,Fin,,,,,,,Past,,,,,,,,,,,
schenken.v.01,,Plur,schenken,VERB,WW|pv|verl|mv,geld.n.01,obj,Theme,nl/p28/d0916,Fin,Neut,Sing,geld,NOUN,N|soort|ev|basis|onz|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p28/d0916,,,,,,,,,,,,,,,,,,,
female.n.02,,,Rode,PROPN,SPEC|deeleigen,Rode,,Name,nl/p28/d0916,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p28/d0896,,,,,,,,,,,,,,,,,,,
verslaven.v.01,,,verslaven,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p28/d0896,Part,,,,,,,,,,,,,,,,,,
female.n.02,Neut,Sing,Starbucks,PROPN,N|eigen|ev|basis|stan,Starbucks,,Name,nl/p28/d0896,,,,,,,,,,,,,,,,,,,
slapen.v.01,,Sing,slapen,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p39/d3468,Fin,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,,Past,Nom,3,Prs,,,,,,,,
slapen.v.01,,Sing,slapen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p39/d3468,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p39/d3468,,,,,,,,,,,,,,,,,,,
horen.v.01,,Sing,horen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p39/d1387,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p39/d1387,,,,,,,,,,,,,,,,,,,
female.n.02,,,John,PROPN,SPEC|deeleigen,John,,Name,nl/p39/d1387,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p39/d0918,,,,,,,,,,,,,,,,,,,
slim.a.01,,,slim,ADJ,ADJ|vrij|basis|zonder,jongen.n.01,nsubj,AttributeOf,nl/p39/d0918,,Com,Sing,jongen,NOUN,N|soort|ev|basis|zijd|stan,Pos,,,,,,,,,,,,
slim.a.01,,,slim,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p39/d0918,,,,,,,Pos,,,,,,,,,,,,
female.n.02,Com,Sing,GUS,PROPN,N|eigen|ev|basis|zijd|stan,GUS,,Name,nl/p39/d0760,,,,,,,,,,,,,,,,,,,
verkopen.v.01,,Sing,verkopen,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p39/d0760,Fin,Com,Sing,GUS,PROPN,N|eigen|ev|basis|zijd|stan,,Past,,,,,,,,,,,
verkopen.v.01,,Sing,verkopen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p39/d0760,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p39/d0760,,,,,,,,,,,,,,,,,,,
female.n.02,Neut,Sing,Wehkamp,PROPN,N|eigen|ev|basis|onz|stan,Wehkamp,,Name,nl/p39/d0760,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p39/d2249,,,,,,,,,,,,,,,,,,,
hebben.v.01,,Sing,hebben,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p39/d2249,Fin,,,,,,,Pres,,,,,,,,,,,
hebben.v.01,,Sing,hebben,VERB,WW|pv|tgw|met-t,lul.n.01,obj,Theme,nl/p39/d2249,Fin,Com,Sing,lul,NOUN,N|soort|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p39/d2249,,,,,,,,,,,,,,,,,,,
lul.n.01,Com,Sing,lul,NOUN,N|soort|ev|basis|zijd|stan,enorm.a.01,amod,Attribute,nl/p39/d2249,,,,enorm,ADJ,ADJ|prenom|basis|met-e|stan,,,,,,,,,Pos,,,,
time.n.08,,,,,,now,,EQU,nl/p39/d0816,,,,,,,,,,,,,,,,,,,
female.n.02,Neut,Sing,Nagasaki,PROPN,N|eigen|ev|basis|onz|stan,Nagasaki,,Name,nl/p39/d0816,,,,,,,,,,,,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p39/d2783,,,,,,,,,,,,Nom,1,Prs,,,,,
time.n.08,,,,,,now,,EQU,nl/p39/d2783,,,,,,,,,,,,,,,,,,,
bang.v.01,,,bang,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p39/d2783,,,,,,,Pos,,,,,,,,,,,,
bang.v.01,,,bang,ADJ,ADJ|vrij|basis|zonder,dood.n.01,obl,Stimulus,nl/p39/d2783,,Com,Sing,dood,NOUN,N|soort|ev|basis|zijd|stan,Pos,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p86/d2287,,,,,,,,,,,,,,,,,,,
heerlijk.a.01,,,heerlijk,ADJ,ADJ|vrij|basis|zonder,taart.n.01,nsubj,AttributeOf,nl/p86/d2287,,Com,Sing,taart,NOUN,N|soort|ev|basis|zijd|stan,Pos,,,,,,,,,,,,
heerlijk.a.01,,,heerlijk,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p86/d2287,,,,,,,Pos,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p86/d0909,,,,,,,,,,,,,,,,,,,
blauw.a.01,,,blauw,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p86/d0909,,,,,,,Pos,,,,,,,,,,,,
female.n.02,Neut,Sing,BSN,PROPN,N|eigen|ev|basis|onz|stan,BSN,,Name,nl/p86/d0717,,,,,,,,,,,,,,,,,,,
kopen.v.01,,Sing,kopen,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p86/d0717,Fin,Neut,Sing,BSN,PROPN,N|eigen|ev|basis|onz|stan,,Past,,,,,,,,,,,
kopen.v.01,,Sing,kopen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p86/d0717,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p86/d0717,,,,,,,,,,,,,,,,,,,
female.n.02,,,RJR,PROPN,SPEC|deeleigen,RJR,,Name,nl/p86/d0717,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p86/d2159,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p86/d2159,,,,,,,,,,,,,,,,,,,
op_eten.v.01,,,op_eten,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p86/d2159,Part,,,,,,,,,,,,,,,,,,
op_eten.v.01,,,op_eten,VERB,WW|vd|vrij|zonder,tijger.n.01,obl:agent,Agent,nl/p86/d2159,Part,Com,Sing,tijger,NOUN,N|soort|ev|basis|zijd|stan,,,,,,,,,,,,,
zinken.v.01,,Sing,zinken,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p86/d0907,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p86/d0907,,,,,,,,,,,,,,,,,,,
masseren.v.01,,Sing,masseren,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p86/d3485,Fin,,,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem,,Past,,3,Prs,,,,,,,,
masseren.v.01,,Sing,masseren,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p86/d3485,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p86/d3485,,,,,,,,,,,,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p86/d2052,,,,,,,,,,,,Nom,1,Prs,,,,,
houden.v.01,,Sing,houden,VERB,WW|pv|tgw|ev,time.n.08,,Time,nl/p86/d2052,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p86/d2052,,,,,,,,,,,,,,,,,,,
drinken.v.01,,Sing,drinken,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p86/d0915,Fin,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,,Past,Nom,3,Prs,,,,,,,,
drinken.v.01,,Sing,drinken,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p86/d0915,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p86/d0915,,,,,,,,,,,,,,,,,,,
person.n.01,,,je,PRON,VNW|pers|pron|nomin|red|2v|ev,hearer,,EQU,nl/p86/d1770,,,,,,,,,,,,Nom,2,Prs,,,,,
breken.v.01,,,breken,VERB,WW|vd|vrij|zonder,person.n.01,nsubj,Agent,nl/p86/d1770,Part,,,je,PRON,VNW|pers|pron|nomin|red|2v|ev,,,Nom,2,Prs,,,,,,,,
breken.v.01,,,breken,VERB,WW|vd|vrij|zonder,wet.a.01,obj,Theme,nl/p86/d1770,Part,Com,Sing,wet,NOUN,N|soort|ev|basis|zijd|stan,,,,,,,,,,,,,
breken.v.01,,,breken,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p86/d1770,Part,,,,,,,,,,,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p27/d3174,,,,,,,,,,,,Nom,1,Prs,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p27/d3174,Fin,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,,Past,Nom,1,Prs,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p27/d3174,Fin,,,,,,,Past,,,,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|verl|ev,tennis.n.01,obj,Theme,nl/p27/d3174,Fin,Com,Sing,tennis,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p27/d3174,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p27/d0932,,,,,,,,,,,,,,,,,,,
female.n.02,Neut,Sing,Microsoft,PROPN,N|eigen|ev|basis|onz|stan,Microsoft,,Name,nl/p27/d0932,,,,,,,,,,,,,,,,,,,
kopen.v.01,,,kopen,VERB,WW|vd|vrij|zonder,muis.n.01,obj,Theme,nl/p27/d0932,Part,Com,Sing,muis,NOUN,N|soort|ev|basis|zijd|stan,,,,,,,,,,,,,
female.n.02,,,Eurovisie,PROPN,SPEC|deeleigen,Eurovisie,,Name,nl/p27/d2064,,,,,,,,,,,,,,,,,,,
person.n.01,,,je,PRON,VNW|pers|pron|nomin|red|2v|ev,hearer,,EQU,nl/p27/d2756,,,,,,,,,,,,Nom,2,Prs,,,,,
toe_zijn.v.01,,Sing,toe_zijn,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p27/d2756,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p27/d2756,,,,,,,,,,,,,,,,,,,
verslaan.v.01,,,verslaan,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p27/d3223,Part,,,,,,,,,,,,,,,,,,
verslaan.v.01,,,verslaan,VERB,WW|vd|vrij|zonder,tijger.n.01,obl:agent,Agent,nl/p27/d3223,Part,Com,Sing,tijger,NOUN,N|soort|ev|basis|zijd|stan,,,,,,,,,,,,,
female.n.02,Com,Sing,Leloir,PROPN,N|eigen|ev|basis|zijd|stan,Leloir,,Name,nl/p27/d0712,,,,,,,,,,,,,,,,,,,
female.n.02,"Com,Neut",Sing,El-Nashar,PROPN,N|eigen|ev|basis|zijd|stan,El-Nashar,,Name,nl/p27/d0760,,,,,,,,,,,,,,,,,,,
toe_bijten.v.01,,Sing,toe_bijten,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p27/d1900,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p27/d1900,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,PM,PROPN,N|eigen|ev|basis|zijd|stan,PM,,Name,nl/p27/d0766,,,,,,,,,,,,,,,,,,,
verwerven.v.01,,Sing,verwerven,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p27/d0766,Fin,Com,Sing,PM,PROPN,N|eigen|ev|basis|zijd|stan,,Past,,,,,,,,,,,
verwerven.v.01,,Sing,verwerven,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p27/d0766,Fin,,,,,,,Past,,,,,,,,,,,
verwerven.v.01,,Sing,verwerven,VERB,WW|pv|verl|ev,fabriek.n.01,obj,Theme,nl/p27/d0766,Fin,,Plur,fabriek,NOUN,N|soort|mv|basis,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p27/d0766,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p27/d0886,,,,,,,,,,,,,,,,,,,
haten.v.01,,Sing,haten,VERB,WW|pv|tgw|ev,time.n.08,,Time,nl/p27/d0886,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p27/d0886,,,,,,,,,,,,,,,,,,,
female.n.02,,,Le,PROPN,SPEC|deeleigen,Le,,Name,nl/p17/d0711,,,,,,,,,,,,,,,,,,,
zingen.v.01,,Sing,zingen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p17/d3464,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p17/d3464,,,,,,,,,,,,,,,,,,,
staren.v.01,,Plur,staren,VERB,WW|pv|verl|mv,person.n.01,nsubj,Agent,nl/p17/d3002,Fin,,,ze,PRON,VNW|pers|pron|stan|red|3|mv,,Past,,3,Prs,,,,,,,,
staren.v.01,,Plur,staren,VERB,WW|pv|verl|mv,time.n.08,,Time,nl/p17/d3002,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p17/d3002,,,,,,,,,,,,,,,,,,,
kosten.v.01,,Sing,kosten,VERB,WW|pv|tgw|ev,time.n.08,,Time,nl/p17/d1511,Fin,,,,,,,Pres,,,,,,,,,,,
kosten.v.01,,Sing,kosten,VERB,WW|pv|tgw|ev,banaan.n.01,nsubj,Theme,nl/p17/d1511,Fin,Com,Sing,banaan,NOUN,N|soort|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p17/d1511,,,,,,,,,,,,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p97/d2142,,,,,,,,,,,,Nom,1,Prs,,,,,
bestellen.v.01,,,bestellen,VERB,WW|vd|vrij|zonder,person.n.01,nsubj,Agent,nl/p97/d2142,Part,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,,,Nom,1,Prs,,,,,,,,
bestellen.v.01,,,bestellen,VERB,WW|vd|vrij|zonder,pizza.n.01,obj,Theme,nl/p97/d2142,Part,Com,Sing,pizza,NOUN,N|soort|ev|basis|zijd|stan,,,,,,,,,,,,,
bestellen.v.01,,,bestellen,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p97/d2142,Part,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p97/d0763,,,,,,,,,,,,,,,,,,,
breed.a.01,,,breed,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p97/d0763,,,,,,,Pos,,,,,,,,,,,,
werken.v.01,,Sing,werken,VERB,WW|pv|tgw|met-t,person.n.01,nsubj,Agent,nl/p97/d2625,Fin,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,,Pres,Nom,3,Prs,,,,,,,,
werken.v.01,,Sing,werken,VERB,WW|pv|tgw|met-t,time.n.08,,Time,nl/p97/d2625,Fin,,,,,,,Pres,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p97/d2625,,,,,,,,,,,,,,,,,,,
female.n.02,Neut,Sing,Cisco,PROPN,N|eigen|ev|basis|onz|stan,Cisco,,Name,nl/p97/d0712,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,Mary,,Name,nl/p97/d3451,,,,,,,,,,,,,,,,,,,
kluns.n.01,Com,Sing,kluns,NOUN,N|soort|ev|basis|zijd|stan,female.n.02,nsubj,Theme,nl/p97/d3451,,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,,,,,,,,,,,,,
female.n.02,Com,Sing,John,PROPN,N|eigen|ev|basis|zijd|stan,John,,Name,nl/p97/d0794,,,,,,,,,,,,,,,,,,,
lopen_in.v.01,,Sing,lopen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p97/d0794,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p97/d0794,,,,,,,,,,,,,,,,,,,
oversteken.v.01,,,oversteken,VERB,WW|vd|vrij|zonder,time.n.08,,Time,nl/p97/d3158,Part,,,,,,,,,,,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p68/d0956,,,,,,,,,,,,Nom,1,Prs,,,,,
geven.v.01,,Sing,geven,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p68/d0956,Fin,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,,Past,Nom,1,Prs,,,,,,,,
geven.v.01,,Sing,geven,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p68/d0956,Fin,,,,,,,Past,,,,,,,,,,,
geven.v.01,,Sing,geven,VERB,WW|pv|verl|ev,kalmering_middel.n.01,obj,Theme,nl/p68/d0956,Fin,Neut,Sing,kalmering_middel,NOUN,N|soort|ev|basis|onz|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p68/d0956,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p68/d0956,,,,,,,,,,,,,,,,,,,
nemen.v.01,,Sing,nemen,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p68/d2319,Fin,,,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem,,Past,,3,Prs,,,,,,,,
nemen.v.01,,Sing,nemen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p68/d2319,Fin,,,,,,,Past,,,,,,,,,,,
nemen.v.01,,Sing,nemen,VERB,WW|pv|verl|ev,taxi.n.01,obj,Theme,nl/p68/d2319,Fin,Com,Sing,taxi,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p68/d2319,,,,,,,,,,,,,,,,,,,
person.n.01,,,ik,PRON,VNW|pers|pron|nomin|vol|1|ev,speaker,,EQU,nl/p77/d1850,,,,,,,,,,,,Nom,1,Prs,,,,,
verstaan.v.01,,,verstaan,VERB,WW|inf|vrij|zonder,time.n.08,,Time,nl/p77/d1850,Inf,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p77/d0856,,,,,,,,,,,,,,,,,,,
ziek.a.01,,,ziek,ADJ,ADJ|vrij|basis|zonder,person.n.01,nsubj,AttributeOf,nl/p77/d0856,,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,Pos,,Nom,3,Prs,,,,,,,,
ziek.a.01,,,ziek,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p77/d0856,,,,,,,Pos,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p77/d2277,,,,,,,,,,,,,,,,,,,
heer.n.01,Com,Sing,heer,NOUN,N|soort|ev|basis|zijd|stan,female.n.02,nsubj,Theme,nl/p77/d2277,,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,,,,,,,,,,,,,
heer.n.01,Com,Sing,heer,NOUN,N|soort|ev|basis|zijd|stan,time.n.08,,Time,nl/p77/d2277,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p77/d2277,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p77/d1878,,,,,,,,,,,,,,,,,,,
zeventien.n.01,,,zeventien,NUM,TW|hoofd|vrij,time.n.08,,Time,nl/p77/d1878,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Elaine,PROPN,N|eigen|ev|basis|zijd|stan,Elaine,,Name,nl/p77/d0945,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p77/d0945,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p67/d1391,,,,,,,,,,,,,,,,,,,
noemen.v.01,,Sing,noemen,VERB,WW|pv|tgw|ev,ouverture.n.01,obj,Theme,nl/p67/d1391,Fin,Com,Sing,ouverture,NOUN,N|soort|ev|basis|zijd|stan,,Pres,,,,,,,,,,,
female.n.02,Com,Sing,Berlioz,PROPN,N|eigen|ev|basis|zijd|stan,Berlioz,,Name,nl/p67/d1391,,,,,,,,,,,,,,,,,,,
bushalte.n.01,Com,Sing,bushalte,NOUN,N|soort|ev|basis|zijd|stan,person.n.01,nsubj,Theme,nl/p67/d0803,,,,dat,PRON,VNW|aanw|pron|stan|vol|3o|ev,,,,3,Dem,,,,,,,,
bushalte.n.01,Com,Sing,bushalte,NOUN,N|soort|ev|basis|zijd|stan,time.n.08,,Time,nl/p67/d0803,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p67/d0803,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p67/d0930,,,,,,,,,,,,,,,,,,,
bang.v.01,,,bang,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p67/d0930,,,,,,,Pos,,,,,,,,,,,,
bang.v.01,,,bang,ADJ,ADJ|vrij|basis|zonder,water.n.06,obl,Stimulus,nl/p67/d0930,,Neut,Sing,water,NOUN,N|soort|ev|basis|onz|stan,Pos,,,,,,,,,,,,
female.n.02,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,Mary,,Name,nl/p67/d0917,,,,,,,,,,,,,,,,,,,
terug_slaan.v.01,,Sing,terug_slaan,VERB,WW|pv|verl|ev,female.n.02,nsubj,Agent,nl/p67/d0917,Fin,Com,Sing,Mary,PROPN,N|eigen|ev|basis|zijd|stan,,Past,,,,,,,,,,,
terug_slaan.v.01,,Sing,terug_slaan,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p67/d0917,Fin,,,,,,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p67/d0917,,,,,,,,,,,,,,,,,,,
female.n.02,Com,Sing,Tom,PROPN,N|eigen|ev|basis|zijd|stan,Tom,,Name,nl/p67/d0917,,,,,,,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p19/d2434,,,,,,,,,,,,,,,,,,,
geel.a.01,,,geel,ADJ,ADJ|vrij|basis|zonder,time.n.08,,Time,nl/p19/d2434,,,,,,,Pos,,,,,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|verl|ev,person.n.01,nsubj,Agent,nl/p19/d0838,Fin,,,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc,,Past,Nom,3,Prs,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|verl|ev,time.n.08,,Time,nl/p19/d0838,Fin,,,,,,,Past,,,,,,,,,,,
spelen.v.01,,Sing,spelen,VERB,WW|pv|verl|ev,piano.n.01,obj,Theme,nl/p19/d0838,Fin,Com,Sing,piano,NOUN,N|soort|ev|basis|zijd|stan,,Past,,,,,,,,,,,
time.n.08,,,,,,now,,TPR,nl/p19/d0838,,,,,,,,,,,,,,,,,,,
female.n.02,,,Aurore,PROPN,SPEC|deeleigen,Aurore,,Name,nl/p19/d0711,,,,,,,,,,,,,,,,,,,
gebruiken.v.01,,,gebruiken,VERB,WW|vd|vrij|zonder,female.n.02,nsubj:pass,Time,nl/p19/d0763,Part,Com,Sing,Ebrodelta,PROPN,N|eigen|ev|basis|zijd|stan,,,,,,,,,,,,,
time.n.08,,,,,,now,,EQU,nl/p19/d0918,,,,,,,,,,,,,,,,,,,
