from_node_token,from_node_Mood,from_node_Number,from_node_Person,from_node_Tense,from_node_VerbForm,from_node_lemma,from_node_upos,from_node_xpos,to_node_token,to_node_Case,to_node_Gender,to_node_Number,to_node_Person,to_node_PronType,to_node_lemma,to_node_upos,to_node_xpos,deprel,label,doc_id,from_node_Case,from_node_PronType,from_node_Reflex,from_node_NumType,from_node_Gender,to_node_NumType,to_node_Definite,to_node_Polarity
Miesepeter.n.01,,Sing,,,,Miesepeter,NOUN,NN,female.n.02,Nom,Masc,Sing,,,Tom,PROPN,NE,nsubj,Theme,de/p48/d3446,Nom,,,,Masc,,,
berauben.v.01,Ind,Sing,3,Past,Fin,berauben,VERB,VVFIN,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,Agent,de/p48/d2598,,,,,,,,
berauben.v.01,Ind,Sing,3,Past,Fin,berauben,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p48/d2598,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p48/d2598,,,,,,,,
Dame.n.01,,Sing,,,,Dame,NOUN,NN,alt.a.01,Acc,Fem,Sing,,,alt,ADJ,ADJA,amod,Attribute,de/p48/d2598,Acc,,,,Fem,,,
schwimmen.v.01,Ind,Sing,3,Past,Fin,schwimmen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p48/d0837,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p48/d0837,,,,,,,,
sterben.v.01,Ind,Sing,3,Past,Fin,sterben,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p48/d2002,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p48/d2002,,,,,,,,
mögen.v.01,Ind,Plur,3,Pres,Fin,mögen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p48/d3453,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p48/d3453,,,,,,,,
female.n.02,,Sing,,,,Tom,PROPN,NE,Tom,,,,,,,,,,Name,de/p48/d3453,Nom,,,,Masc,,,
female.n.02,,Sing,,,,Korsika,PROPN,NE,Korsika,,,,,,,,,,Name,de/p48/d1958,Dat,,,,Neut,,,
female.n.02,,Sing,,,,Napoleon,PROPN,NE,Napoleon,,,,,,,,,,Name,de/p48/d1958,Nom,,,,Masc,,,
gebären.v.01,,,,,Part,gebären,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p48/d1958,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p48/d1472,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p48/d1472,Nom,Prs,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p34/d2998,,,,,,,,
person.n.01,,Plur,1,,,wir,PRON,PPER,speaker,,,,,,,,,,EQU,de/p34/d2998,Nom,Prs,,,,,,
bombardieren.v.01,,,,,Part,bombardieren,VERB,VVPP,female.n.02,Nom,Neut,Sing,,,London,PROPN,NE,nsubj:pass,Time,de/p34/d0781,,,,,,,,
female.n.02,,Sing,,,,Spocks,PROPN,NE,Spocks,,,,,,,,,,Name,de/p34/d0711,Gen,,,,Masc,,,
kommen.v.01,Ind,Sing,3,Pres,Fin,kommen,VERB,VVFIN,Rockgruppe.n.01,Nom,Fem,Sing,,,Rockgruppe,NOUN,NN,nsubj,Theme,de/p34/d0711,,,,,,,,
kommen.v.01,Ind,Sing,3,Pres,Fin,kommen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p34/d0711,,,,,,,,
kommen.v.01,Ind,Sing,3,Pres,Fin,kommen,VERB,VVFIN,female.n.02,Dat,Neut,Sing,,,Japan,PROPN,NE,obl,Location,de/p34/d0711,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p34/d0711,,,,,,,,
female.n.02,,Sing,,,,Japan,PROPN,NE,Japan,,,,,,,,,,Name,de/p34/d0711,Dat,,,,Neut,,,
spielen.v.01,Ind,Plur,3,Past,Fin,spielen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p34/d2397,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p34/d2397,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p34/d0821,,,,,,,,
bestechen.v.01,Ind,Sing,3,Past,Fin,bestechen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p34/d3525,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p34/d3525,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p34/d2085,Nom,Prs,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p34/d3352,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p34/d2534,,,,,,,,
verrücken.a.01,,,,,,verrücken,ADJ,ADJD,Madrilene.n.01,Nom,Masc,Plur,,,Madrilene,NOUN,NN,nsubj,AttributeOf,de/p34/d2534,,,,,,,,
verrücken.a.01,,,,,,verrücken,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p34/d2534,,,,,,,,
sein.v.01,Ind,Sing,3,Past,Fin,sein,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p34/d3219,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p34/d3219,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p34/d2657,,,,,,,,
zerkrümeln.v.01,Ind,Sing,3,Past,Fin,zerkrümeln,VERB,VVFIN,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p34/d3553,,,,,,,,
zerkrümeln.v.01,Ind,Sing,3,Past,Fin,zerkrümeln,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p34/d3553,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p34/d3553,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p34/d0879,,,,,,,,
trinkbar.a.01,,,,,,trinkbar,ADJ,ADJD,Wasser.n.01,Nom,Neut,Sing,,,Wasser,NOUN,NN,nsubj,AttributeOf,de/p34/d0879,,,,,,,,
trinkbar.a.01,,,,,,trinkbar,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p34/d0879,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p75/d3488,,,,,,,,
pflanzen.v.01,Ind,Sing,1,Pres,Fin,pflanzen,VERB,VVFIN,Orangenbaum.n.01,Acc,Masc,Sing,,,Orangenbaum,NOUN,NN,obj,Theme,de/p75/d3488,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p75/d3488,Nom,Prs,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p75/d2032,Nom,Prs,,,,,,
heiraten.v.01,,,,,Inf,heiraten,VERB,VVINF,person.n.01,Nom,,Sing,1,Prs,ich,PRON,PPER,nsubj,Agent,de/p75/d2032,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p75/d0935,Nom,Prs,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p75/d0818,Nom,Prs,,,,,,
Bäcker.n.01,,Sing,,,,Bäcker,NOUN,NN,person.n.01,Nom,,Sing,1,Prs,ich,PRON,PPER,nsubj,Theme,de/p75/d0818,Acc,,,,Masc,,,
verletzen.v.01,,,,,Part,verletzen,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p75/d1268,,,,,,,,
haben.v.01,Ind,Sing,3,Pres,Fin,haben,VERB,VAFIN,time.n.08,,,,,,,,,,Time,de/p75/d2476,,,,,,,,
haben.v.01,Ind,Sing,3,Pres,Fin,haben,VERB,VAFIN,Auge.n.01,Acc,Neut,Plur,,,Auge,NOUN,NN,obj,Theme,de/p75/d2476,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p75/d2476,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p75/d1793,,,,,,,,
retten.v.01,Ind,Sing,3,Past,Fin,retten,VERB,VVFIN,Flamme.n.01,Dat,Fem,Plur,,,Flamme,NOUN,NN,obl,Theme,de/p75/d2456,,,,,,,,
fangen.v.01,Ind,Sing,1,Past,Fin,fangen,VERB,VVFIN,Netz.n.01,Dat,Neut,Sing,,,Netz,NOUN,NN,obl,Theme,de/p49/d3056,,,,,,,,
pflücken.v.01,Ind,Sing,3,Past,Fin,pflücken,VERB,VVFIN,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p49/d1813,,,,,,,,
pflücken.v.01,Ind,Sing,3,Past,Fin,pflücken,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p49/d1813,,,,,,,,
pflücken.v.01,Ind,Sing,3,Past,Fin,pflücken,VERB,VVFIN,Blume.n.01,Acc,Fem,Plur,,,Blume,NOUN,NN,obj,Theme,de/p49/d1813,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p49/d1813,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p49/d0775,Nom,Prs,,,,,,
engagieren.v.01,,,,,Part,engagieren,VERB,VVPP,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,Agent,de/p49/d1939,,,,,,,,
engagieren.v.01,,,,,Part,engagieren,VERB,VVPP,Privatdetektiv.n.01,Acc,Masc,Sing,,,Privatdetektiv,NOUN,NN,obj,Theme,de/p49/d1939,,,,,,,,
engagieren.v.01,,,,,Part,engagieren,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p49/d1939,,,,,,,,
bießen.v.01,,,,,Part,bießen,VERB,VVPP,female.n.02,Nom,Masc,Sing,,,Tom,PROPN,NE,obj,Time,de/p49/d2368,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p24/d1595,,,,,,,,
rot.a.01,,,,,,rot,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p24/d1595,,,,,,,,
female.n.02,,Sing,,,,Australien,PROPN,NE,Australien,,,,,,,,,,Name,de/p24/d0711,Dat,,,,Neut,,,
gebären.v.01,,,,,Part,gebären,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p24/d0711,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p24/d0955,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p24/d0955,Nom,Prs,,,,,,
person.n.01,,Sing,1,,,du,PRON,PPER,speaker,,,,,,,,,,EQU,de/p24/d0955,Dat,Prs,,,,,,
Gold.n.01,,Sing,,,,Gold,NOUN,NN,time.n.08,,,,,,,,,,Time,de/p24/d3345,Nom,,,,Neut,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p24/d3345,,,,,,,,
erpressen.v.01,Ind,Sing,3,Past,Fin,erpressen,VERB,VVFIN,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,Agent,de/p24/d2303,,,,,,,,
erpressen.v.01,Ind,Sing,3,Past,Fin,erpressen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p24/d2303,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p24/d2303,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p24/d2303,Acc,Prs,,,,,,
klingeln.v.01,Ind,Sing,3,Pres,Fin,klingeln,VERB,VVFIN,Wecker.n.01,Nom,Masc,Sing,,,Wecker,NOUN,NN,nsubj,Theme,de/p24/d0887,,,,,,,,
klingeln.v.01,Ind,Sing,3,Pres,Fin,klingeln,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p24/d0887,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p24/d0887,,,,,,,,
überraschen.v.01,Ind,Sing,3,Pres,Fin,überraschen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p24/d0884,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p24/d0884,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p24/d0884,Acc,Prs,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p24/d1454,,,,,,,,
maßgeschneidert.a.01,,,,,Part,maßgeschneidert,ADJ,VVPP,Anzug.n.01,Nom,Masc,Sing,,,Anzug,NOUN,NN,nsubj,AttributeOf,de/p24/d1454,,,,,,,,
maßgeschneidert.a.01,,,,,Part,maßgeschneidert,ADJ,VVPP,time.n.08,,,,,,,,,,Time,de/p24/d1454,,,,,,,,
zahlen.v.01,Ind,Sing,3,Pres,Fin,zahlen,VERB,VVFIN,Bußgeld.n.01,Acc,Neut,Sing,,,Bußgeld,NOUN,NN,obj,Theme,de/p24/d1476,,,,,,,,
umarmen.v.01,,,,,Part,umarmen,VERB,VVPP,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,Agent,de/p24/d0850,,,,,,,,
umarmen.v.01,,,,,Part,umarmen,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p24/d0850,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p24/d2272,,,,,,,,
verseuchen.a.01,,,,,Part,verseuchen,ADJ,VVPP,See.n.01,Nom,Masc,Sing,,,See,NOUN,NN,nsubj,AttributeOf,de/p24/d2272,,,,,,,,
verseuchen.a.01,,,,,Part,verseuchen,ADJ,VVPP,time.n.08,,,,,,,,,,Time,de/p24/d2272,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p24/d1880,,,,,,,,
pflücken.v.01,,,,,Part,pflücken,VERB,VVPP,Blume.n.01,Acc,Fem,Plur,,,Blume,NOUN,NN,obj,Theme,de/p24/d1880,,,,,,,,
ernennen.v.01,Ind,Sing,3,Past,Fin,ernennen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p24/d2740,,,,,,,,
ernennen.v.01,Ind,Sing,3,Past,Fin,ernennen,VERB,VVFIN,Ministerpräsident.n.01,Nom,Masc,Sing,,,Ministerpräsident,NOUN,NN,nsubj,Theme,de/p24/d2740,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p24/d2740,,,,,,,,
klingeln.v.01,Ind,Sing,3,Pres,Fin,klingeln,VERB,VVFIN,Telefon.n.01,Nom,Neut,Sing,,,Telefon,NOUN,NN,nsubj,Theme,de/p28/d1940,,,,,,,,
klingeln.v.01,Ind,Sing,3,Pres,Fin,klingeln,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p28/d1940,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p28/d1940,,,,,,,,
female.n.02,,Sing,,,,Greenpeace,PROPN,NE,Greenpeace,,,,,,,,,,Name,de/p28/d1391,Nom,,,,Masc,,,
alt.a.01,,,,,,alt,ADJ,ADJD,Verstorbene.n.01,Nom,Masc,Sing,,,Verstorbene,NOUN,NN,nsubj,AttributeOf,de/p28/d1615,,,,,,,,
widersprechen.v.01,Ind,Plur,3,Past,Fin,widersprechen,VERB,VVFIN,person.n.01,Nom,,Plur,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p28/d2540,,,,,,,,
widersprechen.v.01,Ind,Plur,3,Past,Fin,widersprechen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p28/d2540,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p28/d2540,,,,,,,,
female.n.02,,Sing,,,,Darwins,PROPN,NE,Darwins,,,,,,,,,,Name,de/p28/d2540,Gen,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p28/d2828,,,,,,,,
person.n.01,,Sing,2,,,du,PRON,PPER,hearer,,,,,,,,,,EQU,de/p28/d2828,Nom,Prs,,,,,,
Dollar.n.01,,Plur,,,,Dollar,NOUN,NN,fünfzig.n.01,,,,,,fünfzig,NUM,CARD,nummod,Quantity,de/p28/d2980,Acc,,,,Masc,Card,,
zahlen.v.01,,,,,Inf,zahlen,VERB,VVINF,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p28/d2980,,,,,,,,
zahlen.v.01,,,,,Inf,zahlen,VERB,VVINF,time.n.08,,,,,,,,,,Time,de/p28/d2980,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p28/d1432,,,,,,,,
person.n.01,,Plur,1,,,wir,PRON,PPER,speaker,,,,,,,,,,EQU,de/p28/d1432,Dat,Prs,,,,,,
gackern.v.01,Ind,Sing,3,Pres,Fin,gackern,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p28/d2282,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p28/d2282,,,,,,,,
Dollar.n.01,,Plur,,,,Dollar,NOUN,NN,20.n.01,,,,,,20,NUM,CARD,nummod,Quantity,de/p28/d2107,Acc,,,,Masc,Card,,
zahlen.v.01,,,,,Inf,zahlen,VERB,VVINF,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,Agent,de/p28/d2107,,,,,,,,
zahlen.v.01,,,,,Inf,zahlen,VERB,VVINF,time.n.08,,,,,,,,,,Time,de/p28/d2107,,,,,,,,
wählen.v.01,Ind,Sing,3,Pres,Fin,wählen,VERB,VVFIN,Telefonnummer.n.01,Acc,Fem,Sing,,,Telefonnummer,NOUN,NN,obj,Theme,de/p54/d1519,,,,,,,,
Gegner.n.01,,Sing,,,,Gegner,NOUN,NN,time.n.08,,,,,,,,,,Time,de/p54/d2655,Nom,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p54/d2655,,,,,,,,
schluchzen.v.01,Ind,Sing,3,Past,Fin,schluchzen,VERB,VVFIN,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p54/d2474,,,,,,,,
schluchzen.v.01,Ind,Sing,3,Past,Fin,schluchzen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p54/d2474,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p54/d2474,,,,,,,,
beschuldigen.v.01,,,,,Part,beschuldigen,VERB,VVPP,female.n.02,Nom,Masc,Sing,,,O.J.,PROPN,NE,nsubj:pass,Time,de/p54/d0716,,,,,,,,
vergessen.v.01,,,,,Part,vergessen,VERB,VVPP,Ketchup.n.01,Acc,Neut,Sing,,,Ketchup,NOUN,NN,obj,Theme,de/p54/d0930,,,,,,,,
funktionieren.v.01,Ind,Sing,3,Pres,Fin,funktionieren,VERB,VVFIN,Ventilator.n.01,Nom,Masc,Sing,,,Ventilator,NOUN,NN,nsubj,Theme,de/p54/d2531,,,,,,,,
funktionieren.v.01,Ind,Sing,3,Pres,Fin,funktionieren,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p54/d2531,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p54/d2531,,,,,,,,
zerstören.v.01,,,,,Part,zerstören,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p54/d3358,,,,,,,,
sagen.v.01,Ind,Sing,3,Past,Fin,sagen,VERB,VVFIN,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p54/d0953,,,,,,,,
sagen.v.01,Ind,Sing,3,Past,Fin,sagen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p54/d0953,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p54/d0953,,,,,,,,
female.n.02,,Sing,,,,Betty,PROPN,NE,Betty,,,,,,,,,,Name,de/p54/d0864,Nom,,,,Masc,,,
Serienmörderin.n.01,,Sing,,,,Serienmörderin,NOUN,NN,female.n.02,Nom,Masc,Sing,,,Betty,PROPN,NE,nsubj,Theme,de/p54/d0864,Nom,,,,Fem,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p54/d2453,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p54/d2453,Nom,Prs,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p54/d2636,,,,,,,,
stockbesoffen.a.01,,,,,,stockbesoffen,ADJ,ADJD,male.n.02,Nom,Masc,Sing,3,Prs,er,PRON,PPER,nsubj,AttributeOf,de/p54/d2636,,,,,,,,
stockbesoffen.a.01,,,,,,stockbesoffen,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p54/d2636,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p83/d0814,,,,,,,,
schön.a.01,,,,,,schön,ADJ,ADJD,Mutter.n.01,Nom,Fem,Sing,,,Mutter,NOUN,NN,nsubj,AttributeOf,de/p83/d0814,,,,,,,,
schön.a.01,,,,,,schön,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p83/d0814,,,,,,,,
überfahren.v.01,,,,,Part,überfahren,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p83/d1943,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p83/d1420,,,,,,,,
spülen_ab.v.01,Ind,Sing,3,Past,Fin,spülen,VERB,VVFIN,Seife.n.01,Acc,Fem,Sing,,,Seife,NOUN,NN,obj,Theme,de/p83/d2395,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p83/d1973,,,,,,,,
freundlich.a.01,,,,,,freundlich,ADJ,ADJD,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,AttributeOf,de/p83/d1973,,,,,,,,
freundlich.a.01,,,,,,freundlich,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p83/d1973,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p83/d2406,,,,,,,,
person.n.01,,Plur,1,,,wir,PRON,PPER,speaker,,,,,,,,,,EQU,de/p83/d2406,Nom,Prs,,,,,,
female.n.02,,Sing,,,,Airbus,PROPN,NE,Airbus,,,,,,,,,,Name,de/p83/d0760,Dat,,,,Masc,,,
female.n.02,,Sing,,,,MG,PROPN,NE,MG,,,,,,,,,,Name,de/p83/d0760,Nom,,,,Masc,,,
aufkaufen.v.01,,,,,Part,aufkaufen,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p83/d0760,,,,,,,,
kitzeln.v.01,Ind,Sing,3,Pres,Fin,kitzeln,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p83/d2619,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p83/d2619,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p83/d2619,Acc,Prs,,,,,,
person.n.01,,Plur,1,,,wir,PRON,PPER,speaker,,,,,,,,,,EQU,de/p83/d2278,Nom,Prs,,,,,,
leiden.v.01,Ind,Sing,3,Pres,Fin,leiden,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p83/d1974,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p83/d1974,,,,,,,,
haben.v.01,Ind,Sing,3,Pres,Fin,haben,VERB,VAFIN,Buch.n.01,Acc,Neut,Plur,,,Buch,NOUN,NN,obj,Theme,de/p83/d2586,,,,,,,,
heiraten.v.01,,,,,Part,heiraten,VERB,VVPP,female.n.02,Nom,Fem,Sing,3,Prs,Sie|sie,PRON,PPER,nsubj,Agent,de/p39/d3422,,,,,,,,
heiraten.v.01,,,,,Part,heiraten,VERB,VVPP,time.n.08,,,,,,,,,,Time,de/p39/d3422,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p39/d1646,,,,,,,,
person.n.01,,Sing,2,,,du,PRON,PPER,hearer,,,,,,,,,,EQU,de/p39/d1646,Nom,Prs,,,,,,
schlafen.v.01,Ind,Sing,3,Pres,Fin,schlafen,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p39/d2805,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p39/d2805,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p39/d3295,,,,,,,,
lieben.v.01,Ind,Sing,3,Pres,Fin,lieben,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p39/d1469,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p39/d1469,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p39/d1469,Acc,Prs,,,,,,
reichen.v.01,Ind,Sing,3,Past,Fin,reichen,VERB,VVFIN,Cocktail.n.01,Acc,Masc,Sing,,,Cocktail,NOUN,NN,obj,Theme,de/p39/d3172,,,,,,,,
female.n.02,,Sing,,,,Maria,PROPN,NE,Maria,,,,,,,,,,Name,de/p39/d3172,Nom,,,,Fem,,,
person.n.01,,Sing,1,,,du,PRON,PPER,speaker,,,,,,,,,,EQU,de/p39/d3087,Acc,Prs,,,,,,
hören.v.01,Ind,Sing,3,Pres,Fin,hören,VERB,VVFIN,niemand.n.01,Nom,,Sing,,Ind,niemand,PRON,PIS,nsubj,Agent,de/p39/d3538,,,,,,,Ind,
female.n.02,,Sing,,,,GUS,PROPN,NE,GUS,,,,,,,,,,Name,de/p39/d0760,Nom,,,,Masc,,,
verkaufen.v.01,,,,,Part,verkaufen,VERB,VVPP,female.n.02,Acc,Masc,Sing,,,Wehkamp,PROPN,NE,obj,Time,de/p39/d0760,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p39/d3036,,,,,,,,
vergessen.v.01,,,,,Part,vergessen,VERB,VVPP,Buch.n.01,Acc,Neut,Sing,,,Buch,NOUN,NN,obj,Theme,de/p39/d3036,,,,,,,,
person.n.01,,Plur,1,,,wir,PRON,PPER,speaker,,,,,,,,,,EQU,de/p85/d3126,Nom,Prs,,,,,,
female.n.02,,Sing,,,,Ägypten,PROPN,NE,Ägypten,,,,,,,,,,Name,de/p85/d3126,Acc,,,,Neut,,,
verwandeln.v.01,Ind,Sing,3,Past,Fin,verwandeln,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p85/d1559,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p85/d1559,,,,,,,,
erschüttern.v.01,Ind,Sing,3,Past,Fin,erschüttern,VERB,VVFIN,time.n.08,,,,,,,,,,Time,de/p85/d3351,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,TPR,de/p85/d3351,,,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p85/d2117,,,,,,,,
person.n.01,,Sing,2,,,du,PRON,PPER,hearer,,,,,,,,,,EQU,de/p85/d2117,Nom,Prs,,,,,,
alt.a.01,,,,,,alt,ADJ,ADJD,time.n.08,,,,,,,,,,Time,de/p85/d2117,,,,,,,,
female.n.02,,Sing,,,,Fulham,PROPN,NE,Fulham,,,,,,,,,,Name,de/p85/d0712,Acc,,,,Masc,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p85/d0936,,,,,,,,
person.n.01,,Sing,1,,,ich,PRON,PPER,speaker,,,,,,,,,,EQU,de/p85/d0936,Nom,Prs,,,,,,
time.n.08,,,,,,,,,now,,,,,,,,,,EQU,de/p85/d0766,,,,,,,,
